,ds,77494zip,Recession,Month,Year
0,1996-01-31,200475.0,False,1,1996
1,1996-02-29,200723.0,False,2,1996
2,1996-03-31,200526.0,False,3,1996
3,1996-04-30,199337.0,False,4,1996
4,1996-05-31,198200.0,False,5,1996
5,1996-06-30,197534.0,False,6,1996
6,1996-07-31,198298.0,False,7,1996
7,1996-08-31,197986.0,False,8,1996
8,1996-09-30,197333.0,False,9,1996
9,1996-10-31,196543.0,False,10,1996
10,1996-11-30,197444.0,False,11,1996
11,1996-12-31,199129.0,False,12,1996
12,1997-01-31,201687.0,False,1,1997
13,1997-02-28,202931.0,False,2,1997
14,1997-03-31,204207.0,False,3,1997
15,1997-04-30,206413.0,False,4,1997
16,1997-05-31,208870.0,False,5,1997
17,1997-06-30,210582.0,False,6,1997
18,1997-07-31,210250.0,False,7,1997
19,1997-08-31,212394.0,False,8,1997
20,1997-09-30,214904.0,False,9,1997
21,1997-10-31,217109.0,False,10,1997
22,1997-11-30,216177.0,False,11,1997
23,1997-12-31,214468.0,False,12,1997
24,1998-01-31,211736.0,False,1,1998
25,1998-02-28,210126.0,False,2,1998
26,1998-03-31,208420.0,False,3,1998
27,1998-04-30,207481.0,False,4,1998
28,1998-05-31,206443.0,False,5,1998
29,1998-06-30,206033.0,False,6,1998
30,1998-07-31,205925.0,False,7,1998
31,1998-08-31,204647.0,False,8,1998
32,1998-09-30,204133.0,False,9,1998
33,1998-10-31,204600.0,False,10,1998
34,1998-11-30,206225.0,False,11,1998
35,1998-12-31,207084.0,False,12,1998
36,1999-01-31,207630.0,False,1,1999
37,1999-02-28,208343.0,False,2,1999
38,1999-03-31,209594.0,False,3,1999
39,1999-04-30,210422.0,False,4,1999
40,1999-05-31,211729.0,False,5,1999
41,1999-06-30,212988.0,False,6,1999
42,1999-07-31,214708.0,False,7,1999
43,1999-08-31,215968.0,False,8,1999
44,1999-09-30,216236.0,False,9,1999
45,1999-10-31,216355.0,False,10,1999
46,1999-11-30,216868.0,False,11,1999
47,1999-12-31,218446.0,False,12,1999
48,2000-01-31,220615.0,False,1,2000
49,2000-02-29,222483.0,False,2,2000
50,2000-03-31,224118.0,False,3,2000
51,2000-04-30,225353.0,False,4,2000
52,2000-05-31,224566.0,False,5,2000
53,2000-06-30,223791.0,False,6,2000
54,2000-07-31,222645.0,False,7,2000
55,2000-08-31,223148.0,False,8,2000
56,2000-09-30,223729.0,False,9,2000
57,2000-10-31,224591.0,False,10,2000
58,2000-11-30,225722.0,False,11,2000
59,2000-12-31,226799.0,False,12,2000
60,2001-01-31,227054.0,False,1,2001
61,2001-02-28,226376.0,False,2,2001
62,2001-03-31,225194.0,True,3,2001
63,2001-04-30,224361.0,True,4,2001
64,2001-05-31,225415.0,True,5,2001
65,2001-06-30,226605.0,True,6,2001
66,2001-07-31,227934.0,True,7,2001
67,2001-08-31,228374.0,True,8,2001
68,2001-09-30,228896.0,True,9,2001
69,2001-10-31,229164.0,True,10,2001
70,2001-11-30,228962.0,True,11,2001
71,2001-12-31,227631.0,False,12,2001
72,2002-01-31,226623.0,False,1,2002
73,2002-02-28,226129.0,False,2,2002
74,2002-03-31,226812.0,False,3,2002
75,2002-04-30,227638.0,False,4,2002
76,2002-05-31,228468.0,False,5,2002
77,2002-06-30,228853.0,False,6,2002
78,2002-07-31,228695.0,False,7,2002
79,2002-08-31,228169.0,False,8,2002
80,2002-09-30,227618.0,False,9,2002
81,2002-10-31,227317.0,False,10,2002
82,2002-11-30,227027.0,False,11,2002
83,2002-12-31,227887.0,False,12,2002
84,2003-01-31,228975.0,False,1,2003
85,2003-02-28,230188.0,False,2,2003
86,2003-03-31,230467.0,False,3,2003
87,2003-04-30,230848.0,False,4,2003
88,2003-05-31,230933.0,False,5,2003
89,2003-06-30,231381.0,False,6,2003
90,2003-07-31,231960.0,False,7,2003
91,2003-08-31,232826.0,False,8,2003
92,2003-09-30,233410.0,False,9,2003
93,2003-10-31,233997.0,False,10,2003
94,2003-11-30,234453.0,False,11,2003
95,2003-12-31,235170.0,False,12,2003
96,2004-01-31,235821.0,False,1,2004
97,2004-02-29,236544.0,False,2,2004
98,2004-03-31,237661.0,False,3,2004
99,2004-04-30,238326.0,False,4,2004
100,2004-05-31,239173.0,False,5,2004
101,2004-06-30,239918.0,False,6,2004
102,2004-07-31,240970.0,False,7,2004
103,2004-08-31,242199.0,False,8,2004
104,2004-09-30,243578.0,False,9,2004
105,2004-10-31,244843.0,False,10,2004
106,2004-11-30,246252.0,False,11,2004
107,2004-12-31,246743.0,False,12,2004
108,2005-01-31,247375.0,False,1,2005
109,2005-02-28,247980.0,False,2,2005
110,2005-03-31,248440.0,False,3,2005
111,2005-04-30,248793.0,False,4,2005
112,2005-05-31,248484.0,False,5,2005
113,2005-06-30,248240.0,False,6,2005
114,2005-07-31,247957.0,False,7,2005
115,2005-08-31,247277.0,False,8,2005
116,2005-09-30,246825.0,False,9,2005
117,2005-10-31,246452.0,False,10,2005
118,2005-11-30,246351.0,False,11,2005
119,2005-12-31,246538.0,False,12,2005
120,2006-01-31,246718.0,False,1,2006
121,2006-02-28,247108.0,False,2,2006
122,2006-03-31,247733.0,False,3,2006
123,2006-04-30,248475.0,False,4,2006
124,2006-05-31,249435.0,False,5,2006
125,2006-06-30,250296.0,False,6,2006
126,2006-07-31,251028.0,False,7,2006
127,2006-08-31,252065.0,False,8,2006
128,2006-09-30,252993.0,False,9,2006
129,2006-10-31,253892.0,False,10,2006
130,2006-11-30,254537.0,False,11,2006
131,2006-12-31,255199.0,False,12,2006
132,2007-01-31,256054.0,False,1,2007
133,2007-02-28,256506.0,False,2,2007
134,2007-03-31,256915.0,False,3,2007
135,2007-04-30,257176.0,False,4,2007
136,2007-05-31,257642.0,False,5,2007
137,2007-06-30,257866.0,False,6,2007
138,2007-07-31,258263.0,False,7,2007
